NEGATED	ALTERNATIVE	RELATION	MEANRATING	SPLIT
cat	babu	cohyponym	1.6	test
chair	armchair	hyponym	4.3	train
lizard	magazine	unrelated	1.2	test
giraffe	pollard	cohyponym	1.2	train
lemon	pain	unrelated	1.2	train
jacket	places	unrelated	1.1	train
dress	car	unrelated	1.2	dev
trout	salad	functional	1.4	test
truck	feature	unrelated	1.3	dev
crow	gain	functional	1.0	dev
bag	football	visual	2.0	test
broccoli	beetroot	distributional	4.3	train
ferry	lift	functional	1.9	train
swan	pages	unrelated	1.0	train
library	aid	unrelated	1.4	test
alligator	weight	unrelated	1.3	test
falcon	goshawk	cohyponym	4.5	train
trout	brisket	functional	1.7	test
cranberry	course	unrelated	1.0	test
ferry	p	unrelated	1.2	train
truck	matters	unrelated	1.3	dev
flute	harmonica	visual	3.9	test
potato	broth	functional	1.8	test
radio	health	unrelated	1.1	train
frog	son	unrelated	1.2	dev
potato	rice	visual	3.1	test
potato	advice	unrelated	1.2	test
television	boring	free_association	1.0	test
shirt	blouse	free_association	5.0	test
oven	appearance	unrelated	1.4	train
potato	mandarin	visual	2.8	test
cat	itch	functional	1.0	test
potato	beetroot	cohyponym	4.0	test
potato	college	unrelated	1.2	test
bus	routes	distributional	1.3	train
lemon	files	unrelated	1.0	train
yacht	levels	unrelated	1.2	train
television	communication	free_association	2.2	test
television	look	unrelated	1.3	test
bag	food	free_association	1.5	test
trout	use	unrelated	1.2	test
sparrow	cuckoo	distributional	4.4	train
chair	billet	hypernym	1.2	train
bus	responsibility	unrelated	1.0	train
shirt	jersey	hyponym	4.2	test
yacht	resort	functional	1.4	train
cat	claw	functional	1.5	test
yacht	club	free_association	1.4	train
freezer	meat	free_association	1.4	train
dagger	volume	unrelated	1.1	test
wasp	hornet	free_association	4.6	test
television	publication	unrelated	1.3	test
alligator	florida	free_association	1.2	test
truck	letter	unrelated	1.3	dev
goat	milk	free_association	1.2	train
cat	puppy	distributional	3.4	test
coat	cutaway	hyponym	1.6	train
falcon	university	unrelated	1.2	train
radio	trombone	functional	1.7	train
wasp	background	unrelated	1.2	test
bus	tram	distributional	4.3	train
bus	motorcar	hypernym	4.0	train
sieve	skills	unrelated	1.2	dev
beaver	moose	distributional	3.3	train
alligator	leather	hypernym	2.0	test
goat	mountain	free_association	1.1	train
crow	sulphur	functional	1.0	dev
hawk	church	unrelated	1.0	dev
yacht	lake	functional	1.2	train
deer	fox	functional	3.0	train
crow	sparrow	distributional	4.7	dev
lizard	gecko	hyponym	4.1	test
scooter	bicycle	cohyponym	4.4	test
flute	celery	visual	1.1	test
corn	coconut	functional	2.0	test
flute	power	unrelated	1.3	test
bag	skin	hyponym	1.5	test
television	airing	distributional	1.7	test
hornet	voice	unrelated	1.7	train
wasp	white	hypernym	1.2	test
chair	web	unrelated	1.1	train
goat	stool	functional	1.2	train
sparrow	hawk	free_association	4.2	train
bottle	carafe	hyponym	4.4	test
mug	skillet	visual	2.0	train
oven	cancer	unrelated	1.4	train
coat	vest	functional	4.0	train
toaster	campus	unrelated	1.0	train
jacket	blazer	hyponym	4.7	train
toaster	subway	visual	1.2	train
giraffe	nightingale	visual	1.6	train
sparrow	nightingale	visual	4.8	train
lemon	lime	cohyponym	4.8	train
bottle	vial	hyponym	4.6	test
dress	coat	visual	4.2	dev
castle	princess	free_association	1.2	dev
bottle	impact	unrelated	1.2	test
castle	art	unrelated	1.8	dev
bottle	mug	visual	3.6	test
dagger	pencil	visual	2.5	test
scooter	nhs	unrelated	1.4	test
trumpet	employment	unrelated	1.2	test
goat	mother	functional	1.5	train
chair	bench	free_association	4.4	train
jacket	mash	functional	1.6	train
alligator	river	free_association	1.4	test
castle	society	unrelated	1.2	dev
beaver	season	unrelated	1.4	train
coat	jacket	hyponym	4.9	train
coat	facing	hyponym	1.4	train
deer	antelope	free_association	4.5	train
toaster	clients	unrelated	1.1	train
truck	armour	visual	1.7	dev
trumpet	serpent	hyponym	1.3	test
dress	suit	functional	3.9	dev
mug	barrow	cohyponym	1.1	train
swan	officer	unrelated	1.3	train
goat	page	unrelated	1.2	train
falcon	vulture	distributional	4.5	train
potato	lard	functional	1.7	test
crow	manager	unrelated	1.2	dev
dagger	character	hypernym	1.1	test
sieve	whisk	distributional	3.1	dev
freezer	location	unrelated	1.2	train
goldfish	bank	unrelated	1.4	test
shirt	pajamas	visual	4.6	test
wasp	care	unrelated	1.1	test
wasp	management	unrelated	1.0	test
hornet	selection	unrelated	1.2	train
bottle	autoclave	cohyponym	1.4	test
flute	month	unrelated	1.0	test
flute	whip	visual	1.3	test
chair	post	hypernym	1.3	train
bus	voyage	functional	1.8	train
jacket	dress	visual	3.5	train
potato	steak	functional	1.8	test
wasp	bee	free_association	4.6	test
giraffe	woodpecker	visual	2.0	train
beaver	hat	hypernym	1.1	train
alligator	whip	visual	1.0	test
cranberry	redcurrant	distributional	4.6	test
yacht	watercraft	hypernym	4.3	train
mug	campaign	unrelated	1.3	train
coat	topper	hyponym	1.5	train
giraffe	basis	unrelated	1.1	train
hawk	breadboard	cohyponym	1.0	dev
deer	birth	unrelated	1.0	train
beaver	problem	unrelated	1.2	train
lemon	day	unrelated	1.0	train
goose	neck	free_association	1.5	test
shirt	jackets	distributional	3.9	test
oven	butter	functional	1.0	train
dress	oil	unrelated	1.0	dev
corn	west	unrelated	1.0	test
corn	walnut	visual	2.5	test
library	end	unrelated	1.2	test
dagger	knowledge	functional	1.2	test
goldfish	carp	cohyponym	4.2	test
chair	deputy	distributional	1.3	train
castle	england	free_association	1.2	dev
bus	plant	unrelated	1.2	train
deer	prongbuck	cohyponym	4.0	train
bag	brown	free_association	1.2	test
hornet	instance	unrelated	1.0	train
cat	wildcat	hyponym	4.6	test
wasp	fundamentalist	cohyponym	1.0	test
bus	passenger	distributional	1.4	train
flute	wood	hypernym	1.6	test
dress	goddess	functional	1.6	dev
goose	gander	hyponym	4.8	test
alligator	seat	unrelated	1.2	test
beaver	scarf	visual	1.1	train
truck	wheel	free_association	1.5	dev
bottle	cage	visual	1.4	test
goat	bull	visual	3.3	train
oven	toast	free_association	1.4	train
castle	fieldwork	cohyponym	1.2	dev
dagger	trip	unrelated	1.0	test
cat	swell	cohyponym	1.1	test
beaver	kind	unrelated	1.1	train
frog	interview	unrelated	1.1	dev
chair	secretary	distributional	1.5	train
freezer	icebox	functional	4.0	train
swan	list	unrelated	1.0	train
toaster	programme	unrelated	1.1	train
swan	weir	distributional	1.2	train
garlic	clove	hyponym	4.2	train
lizard	chameleon	hyponym	4.4	test
castle	scarp	cohyponym	1.1	dev
trout	model	unrelated	1.3	test
bus	shuttle	cohyponym	4.0	train
chair	situation	hypernym	1.1	train
coat	cape	visual	4.3	train
bag	beanbag	hyponym	4.2	test
falcon	fans	unrelated	1.1	train
goose	penguin	visual	4.2	test
mug	saloon	functional	1.1	train
bag	home	hyponym	1.1	test
freezer	kitchen	functional	1.2	train
chair	chief	distributional	1.0	train
beaver	areas	unrelated	1.1	train
television	vehicle	unrelated	1.5	test
bag	rucksack	hyponym	4.6	test
bag	carryall	hyponym	4.1	test
crow	dust	functional	1.7	dev
cypress	redwood	hyponym	4.5	test
frog	turtle	distributional	3.4	dev
jacket	anorak	hyponym	4.4	train
cranberry	soda	functional	1.3	test
oven	refrigerator	distributional	3.5	train
coat	blanket	functional	3.4	train
dress	daughter	functional	1.5	dev
ferry	bridge	functional	1.5	train
radio	reception	cohyponym	1.4	train
deer	program	unrelated	1.2	train
toaster	champion	hypernym	1.1	train
goat	macaroni	functional	1.3	train
crow	gleam	functional	1.5	dev
radio	link	cohyponym	1.2	train
castle	manor	cohyponym	4.4	dev
bus	station	free_association	1.4	train
chair	ottoman	functional	4.2	train
bottle	reports	unrelated	1.1	test
lizard	time	unrelated	1.1	test
library	museum	distributional	4.6	test
chair	rocker	hyponym	3.8	train
trumpet	trombone	free_association	4.3	test
garlic	breath	free_association	1.5	train
dagger	knife	hypernym	4.9	test
garlic	catfish	functional	1.4	train
mug	kidney	functional	1.3	train
bus	text	unrelated	1.2	train
library	statement	unrelated	1.1	test
mug	scene	unrelated	1.0	train
dress	array	cohyponym	1.4	dev
oven	food	free_association	1.6	train
cat	post	unrelated	1.2	test
flute	woodwind	hypernym	4.6	test
alligator	engineering	unrelated	1.0	test
crow	officers	unrelated	1.2	dev
bottle	jar	free_association	4.5	test
bottle	caterpillar	visual	1.3	test
truck	taxi	functional	4.4	dev
lizard	lips	free_association	1.0	test
ferry	court	unrelated	1.1	train
oven	cooker	distributional	4.3	train
cranberry	cherry	visual	4.2	test
library	newspaper	functional	1.9	test
goat	mug	cohyponym	1.0	train
lizard	km	unrelated	1.2	test
yacht	result	unrelated	1.2	train
dagger	weapon	free_association	3.6	test
bottle	eggplant	visual	1.1	test
giraffe	success	unrelated	1.2	train
ferry	longboat	cohyponym	4.1	train
sieve	love	unrelated	1.0	dev
hawk	vulture	cohyponym	4.4	dev
swan	grace	free_association	1.4	train
trout	peach	functional	1.0	test
sieve	steps	unrelated	1.3	dev
jacket	robe	visual	4.5	train
dagger	blade	free_association	3.9	test
radio	channel	distributional	1.7	train
flute	channel	hypernym	1.5	test
trout	lasagna	functional	1.3	test
goat	tortoise	visual	2.0	train
deer	rifle	functional	1.1	train
cypress	elm	distributional	4.5	test
trumpet	opening	unrelated	1.2	test
dress	closet	visual	1.4	dev
flute	quirk	cohyponym	1.5	test
sieve	budget	unrelated	1.2	dev
bottle	boiler	cohyponym	1.5	test
bus	ride	functional	1.9	train
chair	failure	unrelated	1.2	train
hawk	style	unrelated	1.6	dev
toaster	bagel	free_association	1.1	train
beaver	contact	unrelated	1.0	train
flute	level	visual	1.4	test
cat	back	functional	1.1	test
potato	extent	unrelated	1.2	test
trout	panfish	cohyponym	4.3	test
beaver	bear	free_association	2.8	train
beaver	rodent	hypernym	3.2	train
hornet	green	free_association	1.2	train
alligator	green	free_association	1.3	test
oven	grill	distributional	4.5	train
potato	frypan	functional	1.7	test
television	novel	functional	1.3	test
bus	children	free_association	1.1	train
hornet	insect	hypernym	4.2	train
ferry	barge	cohyponym	4.5	train
bottle	attempt	unrelated	1.3	test
cat	video	unrelated	1.4	test
garlic	faith	unrelated	1.5	train
garlic	fennel	distributional	4.2	train
library	study	unrelated	4.1	test
coat	bubble	cohyponym	1.1	train
chair	bed	free_association	2.4	train
trout	mackerel	distributional	4.6	test
television	reception	cohyponym	1.4	test
bag	container	hypernym	4.6	test
ferry	fireboat	cohyponym	4.5	train
bus	commuter	distributional	1.2	train
bus	individuals	unrelated	1.1	train
ferry	turtle	functional	1.5	train
hawk	desk	visual	1.1	dev
cypress	focus	unrelated	1.1	test
deer	cards	unrelated	1.2	train
goat	horn	free_association	1.4	train
trout	eel	cohyponym	3.4	test
goose	victory	unrelated	1.0	test
truck	world	unrelated	1.0	dev
toaster	functionalist	cohyponym	1.2	train
flute	groove	hypernym	1.6	test
shirt	garment	hypernym	4.2	test
bus	road	functional	1.4	train
corn	rye	cohyponym	4.3	test
bottle	mouse	visual	1.1	test
bag	map	unrelated	1.3	test
alligator	buckskin	cohyponym	1.7	test
dress	tie	visual	1.9	dev
goat	herd	free_association	2.7	train
lizard	benefit	unrelated	1.0	test
trumpet	bassoon	functional	4.0	test
corn	wheat	cohyponym	4.7	test
beaver	chinchilla	cohyponym	4.0	train
ferry	fancy	functional	1.0	train
crow	corn	free_association	1.3	dev
goose	ass	cohyponym	1.2	test
broccoli	types	unrelated	1.0	train
flute	track	cohyponym	1.3	test
cat	ounce	hyponym	1.5	test
garlic	spice	free_association	4.7	train
goose	stork	visual	3.5	test
garlic	coriander	distributional	4.3	train
coat	paint	hyponym	1.2	train
mug	armful	cohyponym	1.5	train
dress	sundress	hyponym	4.7	dev
freezer	cause	unrelated	1.2	train
bag	cable	functional	1.1	test
shirt	vinyl	functional	1.5	test
castle	earl	distributional	1.4	dev
library	age	unrelated	1.2	test
bus	car	hypernym	4.1	train
giraffe	concern	unrelated	1.1	train
coat	tools	unrelated	1.2	train
broccoli	bush	free_association	2.1	train
scooter	burro	functional	1.3	test
shirt	camisole	visual	4.7	test
mug	basket	cohyponym	1.7	train
radio	consultation	unrelated	1.2	train
dress	horsehair	functional	1.4	dev
goat	individual	hypernym	1.9	train
mug	pineapple	visual	1.3	train
corn	comment	unrelated	1.3	test
library	science	free_association	1.2	test
frog	speech	unrelated	1.0	dev
crow	tap	functional	1.3	dev
chair	demand	unrelated	1.1	train
falcon	range	unrelated	1.0	train
swan	goose	free_association	4.4	train
yacht	fees	unrelated	1.2	train
potato	coconut	functional	3.0	test
television	ideas	unrelated	1.6	test
ferry	flatboat	cohyponym	3.8	train
goose	image	unrelated	1.3	test
bus	sack	visual	1.2	train
lemon	nectarine	visual	3.9	train
corn	brisket	functional	2.2	test
lemon	kumquat	cohyponym	4.3	train
goldfish	piranhas	distributional	3.5	test
broccoli	safety	unrelated	1.1	train
sieve	colander	cohyponym	4.4	dev
dress	black	cohyponym	1.2	dev
giraffe	neck	free_association	1.5	train
chair	bottom	functional	1.2	train
cat	bachelor	cohyponym	1.5	test
coat	weeks	unrelated	1.1	train
bus	techniques	unrelated	1.3	train
cypress	death	unrelated	1.1	test
bus	support	unrelated	1.1	train
mug	doughnut	functional	1.2	train
freezer	cooker	distributional	2.4	train
cranberry	raisin	visual	4.4	test
lemon	orange	free_association	4.5	train
trumpet	effects	unrelated	1.4	test
bag	organization	unrelated	1.3	test
cat	whip	hypernym	1.0	test
scooter	cruiser	cohyponym	2.5	test
castle	balance	unrelated	1.2	dev
swan	bird	free_association	4.4	train
beaver	rabbit	cohyponym	3.7	train
bag	third	hyponym	1.6	test
goat	cheese	free_association	1.2	train
crow	internet	unrelated	1.3	dev
lemon	puree	distributional	2.9	train
broccoli	girl	unrelated	1.5	train
television	schemes	unrelated	1.2	test
cypress	sycamore	distributional	4.6	test
sieve	transfer	unrelated	1.2	dev
corn	barley	cohyponym	4.5	test
deer	chisel	visual	1.5	train
truck	dump	free_association	1.6	dev
cat	stimulant	hypernym	1.1	test
library	article	functional	1.5	test
hawk	buzzard	hyponym	4.2	dev
oven	hotplate	cohyponym	4.2	train
garlic	pepper	distributional	3.2	train
deer	mink	distributional	2.2	train
castle	universe	functional	1.4	dev
oven	album	unrelated	1.2	train
bus	conductor	hypernym	1.3	train
lizard	iguana	distributional	4.8	test
oven	brick	visual	1.4	train
bus	auto	hypernym	3.3	train
cat	tiger	hyponym	3.9	test
sieve	beginning	unrelated	1.2	dev
scooter	scooters	distributional	4.2	test
bag	bowl	cohyponym	1.5	test
deer	forest	free_association	1.7	train
television	stunt	functional	1.4	test
crow	last	functional	1.1	dev
truck	units	unrelated	1.1	dev
deer	bovid	cohyponym	2.5	train
hornet	call	unrelated	1.1	train
alligator	olive	visual	1.7	test
cypress	larch	distributional	4.6	test
bag	backpack	hyponym	4.6	test
television	abc	distributional	1.2	test
deer	computer	unrelated	1.5	train
trout	living	unrelated	1.0	test
jacket	ones	unrelated	1.0	train
television	rediffusion	cohyponym	1.4	test
corn	students	unrelated	1.2	test
dagger	grapheme	hypernym	1.3	test
